Identifiant de la notice	Thèque	Titre collection	Titre propre	Date de diffusion	Date d'enregistrement	Heure de diffusion	Titre phonogramme	Genre	Thématique	Durée
PHD86068995	PH (Phono)	Radio Actualités Françaises	Extraits de spectacles à l'Opéra Comique	19/06/1939	19/06/1939			"Interprétation ; Reportage ; "	"Variétés ; "	00:03:29
PHD86068996	PH (Phono)	Radio Actualités Françaises	Charles MAURRAS à l'Académie française	19/06/1939	19/06/1939			"Interview entretien ; "		00:03:25
PHD86068997	PH (Phono)	Radio Actualités Françaises	Championnat de France cycliste sur route	19/06/1939	19/06/1939			"Reportage ; "	"Sports ; "	00:03:43
PHD86068998	PH (Phono)	Radio Actualités Françaises	"""Les Plaideurs"" sur les marches du Palais de Justice"	19/06/1939	19/06/1939			"Interview entretien ; Reportage ; "	"Théâtre ; "	00:03:23
PHD86068999	PH (Phono)	Radio Actualités Françaises	Voyage en France de l'archevêque de Québec, légal pontifical en Europe		03/07/1939			"Interview entretien ; "	"Religion ; "	00:00:53
PHD86069000	PH (Phono)	Radio Actualités Françaises	Le cardinal VERDIER bénit trois cloches à Paris	03/07/1939	03/07/1939			"Reportage ; "	"Religion ; "	00:01:58
PHD86069001	PH (Phono)	Radio Actualités Françaises	"Soirée ""bleu marine"" : chants de marins"	03/07/1939	03/07/1939			"Bruitage image sonore ; Reportage ; "	"Spectacle ; "	00:03:39
PHD86069002	PH (Phono)	Radio Actualités Françaises	Gala chorégraphique en aide à NIJINSKI	03/07/1939	03/07/1939			"Interview entretien ; "	"Danse ; "	00:03:56
PHD86069003	PH (Phono)	Radio Actualités Françaises	Fête nationale américaine à Paris	10/07/1939	10/07/1939			"Bruitage image sonore ; Reportage ; "	"Histoire ; Politique ; "	00:04:09
PHD86069004	PH (Phono)	Radio Actualités Françaises	Signature des accords de paix franco - turcs	26/06/1939	26/06/1939			"Déclaration ; Reportage ; "	"Politique ; "	00:01:56
PHD86069005	PH (Phono)	Radio Actualités Françaises	Semaine nationale de la Marine Française	26/06/1939	26/06/1939			"Reportage ; "		00:01:48
PHD86069006	PH (Phono)	Radio Actualités Françaises	Réception d'André MAUROIS à l'Académie française	26/06/1939	26/06/1939			"Reportage ; "	"Littérature ; "	00:02:00
PHD86069007	PH (Phono)	Radio Actualités Françaises	Exposition internationale de New-York	26/06/1939	26/06/1939			"Interview entretien ; "	"Arts ; Information ; "	00:04:27
PHD86069008	PH (Phono)	Radio Actualités Françaises	Election de Sacha Guitry à l'Académie Goncourt	03/07/1939	03/07/1939			"Reportage ; "	"Littérature ; "	00:02:44
PHD86069009	PH (Phono)	Radio Actualités Françaises	Edouard EDMOND BLANC explorateur du Haut - Mékong	10/07/1939	10/07/1939			"Interview entretien ; "	"Aventure exploration ; Ethnologie ; "	00:02:43
PHD86069010	PH (Phono)	Radio Actualités Françaises	"""Quai des Brumes"" Grand Prix du cinéma français"	10/07/1939	10/07/1939			"Interview entretien ; "	"Cinéma ; "	00:02:06
PHD86069011	PH (Phono)	Radio Actualités Françaises	Départ du tour de France cycliste au Vésinet	10/07/1939	10/07/1939			"Interview entretien ; "		00:02:56
PHD86069012	PH (Phono)	Radio Actualités Françaises	Les fêtes du 14 juillet 1939	14/07/1939	14/07/1939			"Reportage ; "		00:03:09
PHD86069013	PH (Phono)	Radio Actualités Françaises	150ème anniversaire de la Révolution sur la colline de CHAILLOT	16/07/1939	14/07/1939			"Reportage ; "	"Histoire ; "	00:03:44
PHD86069092	PH (Phono)	Radio Actualités Françaises	Présentation des Radio Actualités Françaises		01/01/1938			"Journal parlé ; "	"Information ; "	00:02:10
PHD86069093	PH (Phono)	Radio Actualités Françaises	30ème anniversaire du premier kilomètre en avion par Henri FARMAN	17/01/1938	17/01/1938			"Interview entretien ; Reportage ; "	"Industrie ; "	00:02:22
PHD86069094	PH (Phono)	Radio Actualités Françaises	Les petits chanteurs à la Croix de Bois rentrent d'Afrique du Nord	17/01/1938	17/01/1938			"Interview entretien ; Reportage ; "	"Religion ; "	00:00:30
PHD86069095	PH (Phono)	Radio Actualités Françaises	Nouvelle revue aux Folies-Bergère		17/01/1938			"Reportage ; "	"Variétés ; "	00:00:54
PHD86069096	PH (Phono)	Radio Actualités Françaises	Yvonne PRINTEMPS aux Bouffes Parisiens		17/01/1938			"Interprétation ; "	"Musique ; "	00:01:09
PHD86069097	PH (Phono)	Radio Actualités Françaises	Le point sur l'aviation militaire et civile	17/01/1938	17/01/1938			"Interview entretien ; "	"Industrie ; "	00:02:27
PHD86069098	PH (Phono)	Radio Actualités Françaises	Nouveau gouvernement CHAUTEMPS	24/01/1938	24/01/1938			"Déclaration ; "	"Politique ; "	00:00:33
PHD86069099	PH (Phono)	Radio Actualités Françaises	Concert CHOPIN salle Pleyel		24/01/1938			"Reportage ; "	"Musique ; "	00:02:32
PHD86069100	PH (Phono)	Radio Actualités Françaises	Concours de canaris chanteurs	24/01/1938	24/01/1938			"Bruitage image sonore ; Reportage ; "	"Faune ; "	00:01:23
PHD86069101	PH (Phono)	Radio Actualités Françaises	Les 80 ans d'André Antoine, fondateur du théâtre libre	24/01/1938	24/01/1938			"Interview entretien ; "	"Théâtre ; "	00:03:19
PHD86069102	PH (Phono)	Radio Actualités Françaises	Fête de la Saint Vincent tournante à Chambolles Musigny		24/01/1938			"Reportage ; "	"Tradition ethnique et populaire ; "	00:01:46
PHD86069103	PH (Phono)	Radio Actualités Françaises	Grand pardon des Terre-Neuvas à Saint-Malo		14/02/1938			"Journal parlé ; "	"Religion ; Tradition ethnique et populaire ; "	00:01:53
PHD86069104	PH (Phono)	Radio Actualités Françaises	Nouveau tour de chant de Lise GAUTY	26/03/1938	26/03/1938			"Interview entretien ; "	"Cinéma ; Variétés ; "	00:01:54
PHD86069105	PH (Phono)	Radio Actualités Françaises	Salut militaire au roi Gustav V de Suède	26/03/1938	26/03/1938			"Bruitage image sonore ; Reportage ; "	"Politique ; "	00:02:42
PHD86069106	PH (Phono)	Radio Actualités Françaises	Allocution de Raymond PATENOTRE ministre de l'économie		01/04/1938			"Déclaration ; "	"Information ; Politique ; "	00:04:43
PHD86069107	PH (Phono)	Radio Actualités Françaises	Allocution de Paul REYNAUD	01/01/1938	01/01/1938			"Déclaration ; "	"Information ; Politique ; "	00:02:51
PHD86069108	PH (Phono)	Radio Actualités Françaises	Fernand GRAVEY retourne à Hollywood	04/04/1938	04/04/1938			"Interview entretien ; "	"Cinéma ; "	00:01:24
PHD86069109	PH (Phono)	Radio Actualités Françaises	Chanteurs hawaïens à Paris		04/04/1938			"Journal parlé ; "		00:02:05
PHD86069110	PH (Phono)	Radio Actualités Françaises	Gala de la cavalerie française au Grand-Palais		04/04/1938			"Reportage ; "	"Spectacle ; "	00:02:32
PHD86069111	PH (Phono)	Radio Actualités Françaises	Visite des souverains anglais en France		21/07/1938			"Journal parlé ; "		00:03:17
PHD86069112	PH (Phono)	Radio Actualités Françaises	Tour de France cycliste, reportage à l'étape		21/07/1938			"Interview entretien ; "		00:01:03
PHD86069113	PH (Phono)	Radio Actualités Françaises	Réactions populaires après le retour de Munich d'Edouard Daladier	01/10/1938	01/10/1938			"Interview entretien ; Reportage ; "	"Politique ; "	00:03:01
PHD86069114	PH (Phono)	Radio Actualités Françaises	Remise des gros lots de la Loterie Nationale	22/07/1939	22/07/1939			"Interview entretien ; Reportage ; "	"Société ; "	00:03:31
PHD86069115	PH (Phono)	Radio Actualités Françaises	Fête basque à Paris	22/07/1939	22/07/1939			"Interprétation ; Reportage ; "	"Tradition ethnique et populaire ; "	00:03:34
PHD86069116	PH (Phono)	Radio Actualités Françaises	Congrès du Syndicat national des instituteurs	22/07/1939	01/07/1939			"Déclaration ; Reportage ; "	"Education pédagogie ; "	00:02:01
PHD86069117	PH (Phono)	Radio Actualités Françaises	"Saint-Cyr : baptême de la promotion ""la plus grande France"""	22/07/1939	22/07/1939			"Bruitage image sonore ; Reportage ; "	"Politique ; "	00:04:05
PHD86069118	PH (Phono)	Radio Actualités Françaises	Le 14 juillet à l'exposition internationale de New-York	31/07/1939	31/07/1939			"Interview entretien ; "	"Politique ; "	00:01:11
PHD86069119	PH (Phono)	Radio Actualités Françaises	Fantasia des Spahis à Senlis	31/07/1939	31/07/1939			"Bruitage image sonore ; Reportage ; "	"Politique ; "	00:03:42
PHD86069120	PH (Phono)	Radio Actualités Françaises	Fête nationale Suisse à Paris	07/08/1939	01/08/1939			"Interprétation ; Reportage ; "	"Tradition ethnique et populaire ; "	00:03:48
PHD86069121	PH (Phono)	Radio Actualités Françaises	Interview de Martha EGGERTH		07/08/1939			"Interview entretien ; "	"Cinéma ; "	00:03:44
PHD86069122	PH (Phono)	Radio Actualités Françaises	Trois mille combattants anglais de 14-18 en visite à Paris	07/08/1939	05/08/1939			"Déclaration ; Reportage ; "	"Politique ; "	00:04:00
PHD86069123	PH (Phono)	Radio Actualités Françaises	Aviation : préparation de la coupe DEUTSCH de la Meurthe	07/08/1939	07/08/1939			"Interview entretien ; Reportage ; "	"Sports ; "	00:02:56
PHD86069124	PH (Phono)	Radio Actualités Françaises	Prières pour la paix	21/08/1939	21/08/1939			"Reportage ; "	"Religion ; "	00:03:55
PHD86069125	PH (Phono)	Radio Actualités Françaises	Athlétisme : ouverture des 8èmes jeux universitaires à Monaco	21/08/1939	20/08/1939			"Bruitage image sonore ; Reportage ; "	"Education pédagogie ; Sports ; "	00:03:46
PHD86069298	PH (Phono)	Radio Actualités Françaises	"""L'or dans la montagne"" film tourné en Suisse"	06/02/1939	06/02/1939			"Reportage ; "	"Cinéma ; "	00:01:42
PHN08007697	PH (Phono)	Radio Actualités Françaises	Fêtes folkloriques sur la place du Trocadéro	16/07/1939	16/07/1939			"Bruitage image sonore ; Reportage ; "	"Tradition ethnique et populaire ; "	00:03:12
PHD85001860	PH (Phono)	Les Français parlent aux Français	Rôle et action des FFI		01/07/1944			"Journal parlé ; "	"Histoire ; "	00:05:29
PHD85007796	PH (Phono)	Les Français parlent aux Français	Jean MARIN : rappel de sa première causerie de 1940		19/11/1943			"Journal parlé ; "	"Information ; "	00:05:21
PHD85007978	PH (Phono)	Les Français parlent aux Français	La Libération de Paris		23/08/1944			"Déclaration ; "	"Histoire ; Information ; "	00:26:50
PHD85008080	PH (Phono)	Les Français parlent aux Français	Message d'Emmanuel d'ASTIER DE LA VIGERIE à l'occasion du 14 juillet 1944		14/07/1944			"Déclaration ; "	"Information ; "	00:07:39
PHD85008081	PH (Phono)	Les Français parlent aux Français	Le 14 juillet à Londres		14/07/1944			"Journal parlé ; "	"Information ; "	00:01:14
PHD85008082	PH (Phono)	Les Français parlent aux Français	Lecture du discours de Pierre VIENOT : la France dans l'avenir		14/07/1944			"Journal parlé ; "	"Information ; "	00:01:52
PHD85008083	PH (Phono)	Les Français parlent aux Français	En Normandie : la France CONNAIT le prix de la liberté		14/07/1944			"Journal parlé ; "	"Information ; "	00:01:25
PHD85008084	PH (Phono)	Les Français parlent aux Français	Compte rendu de l'atmosphère qui règne en Normandie		14/07/1944			"Reportage ; "	"Information ; "	00:05:03
PHD85008085	PH (Phono)	Les Français parlent aux Français	Compte rendu de la situation à Cherbourg		14/07/1944			"Reportage ; "	"Information ; "	00:03:33
PHD85008086	PH (Phono)	Les Français parlent aux Français	Compte rendu de la situation à Caen		14/07/1944			"Journal parlé ; Reportage ; "	"Information ; "	00:03:49
PHD85008088	PH (Phono)	Les Français parlent aux Français	Les forces françaises aériennes libres		02/03/1943			"Journal parlé ; "	"Information ; "	00:08:36
PHD85008116	PH (Phono)	Les Français parlent aux Français	Commentaires sur l'issue de la bataille de Tunisie		14/05/1943			"Journal parlé ; "	"Politique ; "	00:06:20
PHD85008125	PH (Phono)	Les Français parlent aux Français	L'ambiance qui règne en Normandie		24/06/1944			"Reportage ; "	"Information ; "	00:01:46
PHD85027339	PH (Phono)	Les Français parlent aux Français	Messages pour le Nouvel An de la BBC		31/12/1943			"Déclaration ; "	"Information ; "	00:03:25
PHD85027463	PH (Phono)	Les Français parlent aux Français	La libération de Caen		10/07/1944			"Journal parlé ; "	"Information ; "	00:04:46
PHD86069261	PH (Phono)	Les Français parlent aux Français	Message du Général GIRAUD A la métropole	01/05/1943	01/05/1943			"Déclaration ; "	"Information ; "	00:10:17
PHD86069263	PH (Phono)	Les Français parlent aux Français	Fin d'une allocution radiodiffusée du Général GIRAUD	05/06/1943	05/06/1943			"Déclaration ; "	"Politique ; "	00:08:10
PHD86069281	PH (Phono)	Les Français parlent aux Français	La situation militaire en Normandie : Bayeux se mobilise	11/06/1944	11/06/1944	21:30:00		"Journal parlé ; "	"Information ; "	00:09:53
PHD86069285	PH (Phono)	Les Français parlent aux Français	Consignes aux habitants de France	17/08/1944	17/08/1944	21:30:00		"Journal parlé ; "	"Information ; "	00:10:42
PH409008366	PH (Phono)	Les Français parlent aux Français	Message de Maurice SCHUMANN à l'occasion du 14 juillet 1944		14/07/1944			"Déclaration ; "	"Information ; "	00:03:32
PH409008373	PH (Phono)	Les Français parlent aux Français	Message de Pierre VIENOT à l'occasion du 14 juillet 1944		14/07/1944			"Déclaration ; "	"Information ; "	00:02:03
PH510000897	PH (Phono)	Les Français parlent aux Français	Lecture par André GILLOIS d'une dépêche de Pierre BOURDAN : la situation en Normandie		12/06/1944			"Journal parlé ; Papier ; "	"Information ; "	00:01:25
PH709001901	PH (Phono)	Les Français parlent aux Français	Archives diverses		01/01/1942			"Journal parlé ; "	"Information ; "	01:20:00
PH709006492	PH (Phono)	Les Français parlent aux Français	Equipe française BBCLe Général Martial VALIN		01/01/1941			"Journal parlé ; "		00:36:30
PHD85000827	PH (Phono)		Philippe HENRIOT : compte rendu de la conférence de presse du Président Pierre LAVAL		14/12/1942			"Journal parlé ; "	"Politique ; "	00:07:03
PHD85005840	PH (Phono)		Commandant DUVIVIER : la situation de la Radiodiffusion française		09/10/1941			"Journal parlé ; "	"Média ; "	00:04:26
PHD85005989	PH (Phono)		Actualité agricole et concours de la radiodiffusion		22/06/1943			"Journal parlé ; "	"Information ; "	00:04:58
PHD85007219	PH (Phono)		Déclaration de François DARLAN lue par Evrard		23/05/1941			"Journal parlé ; Lecture ; "	"Information ; "	00:03:57
PHD85007536	PH (Phono)		Joseph DARNAND : message aux SOL		02/12/1942			"Journal parlé ; Papier ; "	"Information ; "	00:03:20
PHD85010344	PH (Phono)		Visite du Maréchal PETAIN à Paris		26/04/1944			"Bruitage image sonore ; Déclaration ; Journal parlé ; Reportage ; "	"Information ; Religion ; "	00:57:58
PHD85027579	PH (Phono)		Allocution de François CHASSEIGNE sur la relève des prisonniers de guerre par des TFA		04/11/1942			"Causerie ; Journal parlé ; "	"Information ; "	00:03:54
PHD85027587	PH (Phono)		Allocution de Pierre CHARBIN : le ravitaillement des villes		29/08/1941			"Déclaration ; Journal parlé ; "	"Information ; "	00:08:38
PHD85027588	PH (Phono)		La réorganisation du service du ravitaillement		01/01/1941			"Déclaration ; Journal parlé ; "	"Information ; "	00:01:52
PHD85027660	PH (Phono)	Editorial de Paul Marion	Les appétits des communistes	31/07/1944	31/07/1944			"Journal parlé ; "	"Information ; "	00:08:35
PHD85027673	PH (Phono)		L'organisation du ravitaillement		01/08/1943			"Interview entretien ; Journal parlé ; "	"Information ; "	00:02:06
PHD85027744	PH (Phono)		Allocution Raymond LACHAL : directeur général de la légion française	14/11/1942	14/11/1942			"Journal parlé ; "	"Information ; "	00:01:10
PHD85027872	PH (Phono)		Paul Brun-Damase : les perspectives d'une guerre civile en France		27/07/1941			"Journal parlé ; "		00:14:16
PHD86069256	PH (Phono)	Radio journal	"La bataille du Pacifique ; éditorial de René-Louis Jolivet"	15/06/1942	15/06/1942			"Journal parlé ; "	"Information ; "	00:05:40
PHD86069639	PH (Phono)		Yves BOUTHILLIER : allocution radiophonique à l'intention des fonctionnaires		01/11/1941			"Journal parlé ; "		00:03:33
PHD90010564	PH (Phono)	La milice française vous parle	Les communistes français	14/02/1944	14/02/1944	13:00:00		"Journal parlé ; "	"Information ; "	00:07:02
PHD90010565	PH (Phono)	La milice française vous parle	L'action criminelle des maquisards	02/12/1943	01/12/1943	13:45:00		"Journal parlé ; "	"Information ; "	00:09:14
PHD90010566	PH (Phono)	La milice française vous parle	Une épouse de légionnaire s'adresse aux femmes		10/09/1943			"Journal parlé ; "	"Politique ; "	00:04:58
PHD90010567	PH (Phono)	La milice française vous parle	Le courage des miliciens, front italien	13/09/1943	13/09/1943	13:45:00		"Journal parlé ; "	"Information ; "	00:09:52
PHD90010568	PH (Phono)	La milice française vous parle	Les miliciens construisent la France propre	10/04/1944	07/04/1944	13:45:00		"Journal parlé ; "	"Information ; "	00:05:30
PHD90010569	PH (Phono)	La milice française vous parle	L'Europe est menacée de disparaître		31/01/1944			"Journal parlé ; "	"Information ; "	00:02:34
PHD90010570	PH (Phono)	La milice française vous parle	La milice en zone Nord		27/01/1944			"Journal parlé ; "	"Information ; "	00:06:16
PHD90010571	PH (Phono)	La milice française vous parle	Milice et morale chrétienne	27/12/1943	27/12/1943	13:45:00		"Journal parlé ; "	"Information ; "	00:07:58
PHD90010572	PH (Phono)	La milice française vous parle	Les menaces de l'Amgot, les combats de la milice		06/09/1943			"Journal parlé ; "	"Information ; "	00:09:35
PHD90010574	PH (Phono)	La milice française vous parle	Les combats de la milice	24/07/1943	22/07/1943	13:45:00		"Journal parlé ; "	"Information ; "	00:02:18
